index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,id,processed_tweets,LOC,place,loc_pretrained
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44797E+17,  that smell is damn nice i have the candle but the casing is different haha,,"North-East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49215E+17,  you sure anot next time i see you ill make sure you smell me properly ,,"West Region, Singapore",
rice,0.442583948,-0.68396914,0.898222923,-0.661363184,0.317827076,0.20726189,-0.824717402,0.426659644,-0.061495051,-0.683575571,-0.702189803,-0.553661883,-3.407380104,-0.249012455,0.67699188,0.337678581,0.332821637,-1.187211156,0.958546937,-0.17640397,-1.273771763,0.400490552,0.400953352,0.143317059,0.126384169,0.853873134,0.214359641,-0.125182256,0.60418731,-1.034639001,0.608280122,1.043077946,-1.99714601,-0.319800794,-0.339769542,0.057463001,-0.116642408,0.025345026,1.410246849,0.809903383,-0.596919179,-0.452926189,-0.18776767,-0.809676886,1.126915336,0.57460618,0.57896328,-0.437956989,-0.016618455,0.478714466,4.49379E+17,woke up to the smell of garlic rice and bacon yum yum,,"North-East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49469E+17,daaaaaamn gurl what did u shower in u smell like a kid that just walked out of a candy store after drowning in endless supply of sweets,,"North Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49487E+17,the smell of you still lingers around,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49553E+17,i need to bathe because i smell of school uncle mel,,"North-East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49557E+17,love it when i smell good as when im about to sleep,,"West Region, Singapore",
shit,0.784153998,0.184749678,-0.165718064,-0.229203418,0.450746059,0.542936683,0.997647166,0.294723064,0.106531411,1.033719778,0.256932348,0.702539444,-6.055430412,-0.424916565,-0.151301667,-0.410615593,-0.199331686,-0.678394556,-1.00693047,0.014828815,-0.435519993,0.504248083,0.545526922,0.646593034,0.27852416,0.048893157,0.077583522,-0.054940198,-1.166048527,-0.525598049,-1.149534225,0.73392725,-0.260693192,-0.183014423,-0.476977229,0.467787415,-0.596588135,-0.132410124,0.207644448,0.173862308,-0.763313293,0.248334959,0.233652249,-0.546293259,-0.299701959,-0.18200694,1.054004669,0.580851972,-0.146691263,0.932187676,4.49594E+17,my shit smell nice lol,,"East Region, Singapore",
people,1.455307841,0.499160051,-0.372509211,0.491078258,-0.07602527,0.232981861,1.288449168,-0.259869874,-0.647656739,0.43745333,-0.272450864,-0.552694023,-6.678860664,-0.192264393,-0.413128734,0.09587881,-0.467220128,-1.192785025,0.541619956,-0.225524738,0.352024406,-0.514170527,-0.26386562,0.088183828,-0.014537513,0.665350437,-0.136056542,0.585931003,-0.046837531,-0.495675087,-0.344945729,-0.181668192,0.427234799,0.895947158,0.294032454,0.366922379,-0.336536646,0.092391521,-0.060261261,-0.42149511,-0.572660983,0.557460427,0.102734774,-0.42450881,-0.035066191,-0.154803991,0.599731088,0.77817136,-0.12949118,0.132112652,4.49595E+17,how do people smell nice the whole day,,"East Region, Singapore",
durian,-0.926375926,0.434635371,0.439159125,-0.770904601,-0.000836668,0.35342136,-0.39447245,0.229624152,0.874389946,1.251574993,-0.404269218,-0.572809875,-2.002628803,0.211080834,0.020762723,1.253609419,1.538916945,-1.384570837,0.467492551,0.206691682,-0.351163536,-0.146560267,-0.785673082,-0.172714785,0.168762624,0.238994911,-0.736528277,-0.139149591,0.761931539,-1.409801245,0.070793279,0.118070528,-0.044850871,-0.087925002,-1.102884293,-1.036275625,-0.217895329,-0.75202632,1.1843431,0.738842189,-1.189006805,-1.201231122,-0.87402904,-1.272229433,0.319559991,0.597649753,-0.178281441,-0.406518698,0.315479696,0.55442512,4.49706E+17,although my hotel finds durian smell as offensive as smoking i found it to be quite tasty  hotel re http instagram compmg0revicg3,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49759E+17,the smell of your opponent that falls on your jersey suck,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49779E+17,damn whole room smell of beer after daddy came  ask me what did i do ystd ,,"Central Region, Singapore",
woo,0.319418073,1.0374856,0.45599103,-0.306489795,-0.0641101,-0.22410278,1.039705753,0.759911656,0.307339966,0.866609633,-0.16887109,0.094328836,-2.153368235,0.377797306,0.671278954,-0.510456145,0.265953153,-0.589405775,-0.862992167,-0.029860632,0.33559528,0.134728476,-0.01679064,0.713006616,0.363769472,0.303872436,0.130490169,0.283686012,0.258765191,-0.404493809,0.144021645,1.281481743,0.247488976,0.034980286,0.180742428,-0.043303095,-0.013223855,0.557851911,0.643838525,0.083162092,-1.476869941,-0.618053257,-0.118174516,1.083425999,-0.216467947,0.093833238,-0.836800456,-0.403380036,-0.392855316,0.75548625,4.49883E+17,woo smell so good  pasarbella  friends go to town http instagram compmie0 ddwy5,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50106E+17,omg that smell  mandai crematorium  columbarium w 18 others http 4sq com1jlwyox,mandai crematorium,"North Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50157E+17,walking distance away from ion orchard i can smell repetto from here  at grand hyatt  https path comptybfk,grand hyatt,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50173E+17,"oh look roses arent boxy ps they smell really fragrant too  gardens by the bay http instagram compmkir4psued",,"Central Region, Singapore",the bay http instagram compmkir4psued
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50211E+17,ew the smell of durian ew ew ew ,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50237E+17,burp with the smell of kimchi ,,"North-East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50292E+17, which means i smell nice,,"North Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50296E+17, hahahahahah smell nice rightzxc,,"North-East Region, Singapore",
perfume,-1.980726242,-0.957054853,0.438968092,0.712867677,-0.275345623,0.311483085,1.385018468,-0.332713634,0.358298361,-0.734005272,-0.366181046,0.10106194,-3.037876844,-0.115836546,-0.175812915,0.710842967,0.522508621,-0.289849937,0.15309009,-0.040574037,-0.008744456,0.085926384,0.62638098,-0.282757014,0.352105677,-1.34618187,0.738510251,0.826278269,0.592815638,-0.012448275,-0.487188786,0.476591945,-0.315353841,-0.431744188,0.089310668,-0.950046122,-0.547883987,-0.442516178,-0.733098209,0.474037528,-1.218125582,-0.747834265,-1.805211544,-0.554864168,-0.075841278,-0.096500322,0.816625953,-0.126689553,-0.974949181,-0.4296121,4.50484E+17,fff this perfume smell ,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5054E+17,made curry puff worst appearance but the best curry puff taste and smell she had today d she tasted three times ooooooooh,,"North Region, Singapore",
my,-0.301380008,-0.140159994,0.105719998,0.444570005,-0.227620006,-0.153750002,1.312100053,0.154159993,-0.04851,-0.077973001,-0.619340003,0.370550007,-6.118000031,-0.164729998,-0.773389995,-0.243819997,0.42374,-0.190569997,-1.157600045,0.099398002,-0.382270008,0.877789974,0.016577,0.488499999,-0.543200016,0.084567003,0.120310001,-0.081237003,0.714919984,-0.001902,-1.332700014,-0.096147999,-0.28531,-0.371080011,0.026742,0.019417999,0.321090013,0.642319977,-0.0082645,0.499680012,-1.245000005,0.02204,-0.252160013,-0.149529994,0.302839994,-0.151629999,0.80825001,-0.26315999,0.616729975,0.420830011,4.50598E+17, hahaahah what the my smell hahahah i dont know i changed my smell haha i will be back soon and i dont have curly hair liao,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50655E+17,residents staying near vista park complaining theres a smell because of the flooring for the new playground oh typical singaporeans ,vista park,"North Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50666E+17,dont even try to pull an april fools joke on me i will smell u from 10 mins away dont even try ah,,"North Region, Singapore",
bus,0.232477546,0.364166528,-0.211014569,-1.370983124,-0.799966693,0.211270005,0.350586236,-0.305408925,0.459787369,-0.000360315,0.020334676,0.120837659,-4.229283333,-0.109064065,0.452462077,0.992240012,-0.457956195,-0.620433152,-1.401980519,-0.312870353,-0.338086754,-0.443453759,-0.234879881,-0.502090216,-0.09871082,-1.148169398,-0.756292641,-0.710287809,-0.842572272,-0.223948821,-0.626450419,-0.111983612,0.627067566,-0.390708745,0.950279593,0.759405375,-0.78380847,0.229784921,0.737735748,-0.138357922,-1.091693997,1.25543952,-1.273599267,-0.087919459,-0.08566533,0.500336826,0.618952811,0.719984293,0.467221022,0.727335572,4.5089E+17,whats wif the new bus smell new cushion or new freshener ,,"East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50911E+17,smell of rain ,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51027E+17,back from chalet oh my the cigar smell all on my shirt,,"East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5114E+17,the smell of coffee bread yeah  ,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51174E+17, jcngup younngjae hirrnchan i smell jealousy,jcngup younngjae,"Central Region, Singapore",
here,-0.0046118,0.401050001,-0.099567004,-0.774460018,0.518029988,-0.17825,1.275300026,0.350699991,0.198520005,-0.145659998,-0.138720006,0.058883,-5.264900208,-0.389979988,-0.683399975,-0.512090027,-0.163310006,-0.169220001,-0.621209979,-0.094678998,0.065227002,-1.067399979,0.02214,0.554319978,0.141220003,0.337689996,0.102940001,-0.307990015,0.24684,-0.0014193,-0.417050004,0.248649999,-0.334899992,0.287999988,0.334010005,-0.170410007,-0.066142999,0.64042002,-0.187670007,0.453049988,-0.755169988,0.027342999,0.67227,0.471729994,0.126829997,0.340570003,0.122380003,-0.073886,-0.362390012,0.396149993,4.51187E+17,the food here smell so nice so tempting,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51267E+17,who says money doesnt smell good this two dollar note that accidentally got washed in the washing machine smells great ,,"East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51293E+17, ah thats why i smell something lol,,"West Region, Singapore",
dabian,-0.009870414,0.004234195,-0.003638645,-0.002706085,-0.003781303,0.007676831,-0.008097212,0.002628465,0.007355204,0.006709937,0.004650724,-0.005683495,-0.022581769,-0.008916896,0.008433626,0.008400537,0.001939978,-0.000413053,-0.00508906,0.004009536,-0.002951506,0.009317157,0.002601306,0.000983664,-0.00255396,0.004017456,-0.006130493,-0.001246806,0.009565217,-0.004473246,-0.004375413,0.010392668,0.009990728,0.002548382,-0.009446416,0.009545216,-0.011535333,-0.001631059,-0.001718682,0.004443201,-0.010966477,-0.008140481,-0.008910317,-0.001249655,0.005326534,-0.000409111,0.007840107,-0.005872201,-0.00370278,-0.001174961,4.51328E+17,ah kp somemore what tingting dabian smelly ur sai smell very nice meh dogface,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51352E+17,love the smell of my brothers helmet ,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51379E+17, i can fart you the smell of my love  i can smell your love from here ,,"West Region, Singapore",
baked,0.193050832,-0.49592182,0.924118876,0.143547431,0.392253727,0.321868032,-0.940713823,-0.56545651,0.03026378,-0.507348776,-1.157301188,-0.060040269,-2.622701645,-0.33227855,-0.18799077,-0.058200076,0.448920608,-1.396388292,-0.036545027,-0.058219448,-0.982438922,0.011907522,-0.264523834,-0.599825323,0.009896048,1.369792938,-0.780405879,0.106964625,0.461801529,-1.395725369,0.026290407,1.472653985,-1.51658082,-0.135522619,-0.890890598,0.006660616,0.499551892,-0.505228758,0.82910794,1.233428001,0.243313834,-0.574617684,0.429739475,-0.844254792,1.524568319,0.469902545,0.947470784,-0.306921303,-0.590617478,0.644106388,4.51397E+17,wake up to the smell of freshly baked can someone bake these for me  ku d ta singapore http instagram compms1glwy0ay,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51401E+17,the smell  ,,"North-East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51491E+17,my bag smell chicken rice ,,"North Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51505E+17,eeeee the got leg smell is either the person bake touch hisher foot n touch the bread or step on it better dont eat,,"North Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51617E+17, and smell the coffee o pic twitter comm6t8yggpal,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51622E+17,the smell of  velocity http instagram compmuboj8skhu,velocity,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51656E+17, when u see ur girl right after the game https twitter comchlldhoodruinerstatus451551499068248064photo1 pic twitter com0mqqt0bfvi uhmm noo id smell so bad  dont think its a gd time,,"East Region, Singapore",
durian,-0.926375926,0.434635371,0.439159125,-0.770904601,-0.000836668,0.35342136,-0.39447245,0.229624152,0.874389946,1.251574993,-0.404269218,-0.572809875,-2.002628803,0.211080834,0.020762723,1.253609419,1.538916945,-1.384570837,0.467492551,0.206691682,-0.351163536,-0.146560267,-0.785673082,-0.172714785,0.168762624,0.238994911,-0.736528277,-0.139149591,0.761931539,-1.409801245,0.070793279,0.118070528,-0.044850871,-0.087925002,-1.102884293,-1.036275625,-0.217895329,-0.75202632,1.1843431,0.738842189,-1.189006805,-1.201231122,-0.87402904,-1.272229433,0.319559991,0.597649753,-0.178281441,-0.406518698,0.315479696,0.55442512,4.5167E+17,omfg why does my room have a durian smell,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51671E+17, wolf coyote wolves smell funny o,,"Central Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51679E+17,why does everyone smell like shit,,"West Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51685E+17, wong11 do you smell the popcorn ,,"East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51686E+17, smell of a champion,,"East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51865E+17,this smell if newspaper i remember that you hate it ,,"East Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51873E+17,i can smell weekend i can smell weekend ,,"North Region, Singapore",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51892E+17,yucks the smell ha ,,"Central Region, Singapore",
