index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,id,processed_tweets,LOC,place
serai,0.00636284239590168,-0.8879719972610474,-0.4481475055217743,0.15478560328483582,-0.7235152721405029,0.49355223774909973,-0.6037262678146362,0.12051373720169067,0.7504835724830627,-0.39801472425460815,-0.7285409569740295,-0.7951818108558655,-0.18868474662303925,-0.39996767044067383,-0.16431903839111328,1.707017421722412,0.012116829864680767,0.3165268301963806,-2.2844176292419434,0.8208096027374268,1.1624736785888672,-1.0368316173553467,-0.4363898038864136,-1.0255520343780518,-0.7592663168907166,-0.7584944367408752,-0.37673941254615784,-1.2066650390625,-0.25942859053611755,-0.039440613240003586,0.5551521182060242,-0.4239669740200043,-0.8320233225822449,-0.437174916267395,0.590674102306366,0.08462938666343689,-0.7096830010414124,-0.9952312111854553,1.3312344551086426,0.11869893968105316,-0.23900249600410461,-0.7029726505279541,0.19152501225471497,0.624495804309845,0.02299819141626358,0.15332859754562378,-0.02467605285346508,-0.006853671744465828,0.9654756784439087,-0.44818612933158875,1232809049327988736,"idk how many ppl ive annoyed with the smell of my serai wangi 

its still better than bad breath  bau ketiak hamis ",bau ketiak,"North Region, Singapore"
bunk,-0.5966235399246216,-0.6855372190475464,0.21624580025672913,0.12669110298156738,0.47732973098754883,-0.7236922383308411,0.09832563996315002,-0.6966856122016907,-0.08326712250709534,-0.33220332860946655,0.3785161077976227,0.5041728019714355,-1.7403024435043335,0.24824008345603943,0.18356849253177643,-0.4333847165107727,0.08165590465068817,-0.2115086019039154,-1.3085975646972656,0.1908508539199829,0.05627608671784401,0.23401926457881927,-0.014910658821463585,-0.5139041543006897,-0.2765415608882904,1.2161296606063843,-0.31752508878707886,-0.5559758543968201,-0.4666410982608795,0.3003295660018921,-0.04789380356669426,0.8784894943237305,1.41639244556427,-0.27241867780685425,-1.0555503368377686,-0.7970157861709595,0.744596540927887,0.015363260172307491,0.8136215209960938,0.08363959193229675,0.3006107211112976,1.1740986108779907,-0.4648478329181671,-0.5378619432449341,0.688805878162384,0.7793080806732178,0.9863138198852539,0.9969817399978638,0.47347378730773926,-0.1519165337085724,1232704604686520320,why does my bunk smell so fucking bad holy shit,,"East Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232538733229903874,i smell chilli crab ughhhh craving,,"West Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231876270499123200,"its overflowing yummy 
smell nice 
 small happy 
  singapore https www instagram compb88evq3nz1f igshid 1tvglv1o5u3p",,"Central Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231759953490145281,some heteros really dont care about how they look and smell ,,"Central Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231748205928255498,isnt it more hygienic to do so like then got less smell and all ,,"Central Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231503515912028162,seronok seronok jugak tapi ibarat mcm aku jual name sendiri oh i hate this part satisfied now smell later perks of working in front line  https twitter comqianxingstatus1231109125318176768,,"North-East Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1231466448968511488,u see my layout we smell a bio chain,,"Central Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230881021165371393,"babe i always notice whenever we meet ur hair is still wet and u always smell so good

the unnoticeable things like this always make me awww",,"Central Region, Singapore"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230713707203678208,my office has a load of fanta smelling hand sanitizer how am i supposed to feel clean if my hands smell of artificial oranges ,,"Central Region, Singapore"
