id,LOC_x,index,processed_tweets,place,loc_pretrained,sentiment_scores
4.5e+17,mandai crematorium,,,,,0.0
4.5e+17,grand hyatt,,,,,0.0
4.51e+17,vista park,,,,,0.0
4.51e+17,jcngup younngjae,,,,,0.0
4.52e+17,velocity,,,,,0.0
4.55e+17,changi international airport,,,,,0.0
4.57e+17,bath,,,,,0.0
4.58e+17,marina bay sands,,,,,0.0
4.58e+17,"starbucks,bugis",,,,,0.0
4.59e+17,jurong bird park,,,,,0.0
4.61e+17,speakers corner,,,,,0.0
4.61e+17,litttle india,,,,,0.0
4.62e+17,marina bay,,,,,0.0
4.63e+17,one north station,,,,,0.0
4.65e+17,tuas south incineration plant,,,,,0.0
4.66e+17,moojaa mookata thai bbq steamboat,,,,,0.0
4.68e+17,changi international airport,,,,,0.0
4.69e+17,pasir panjang,,,,,0.0
4.7e+17,yomenya goemon,,,,,0.0
4.7e+17,wendys buangkok,,,,,0.0
4.7e+17,chomp chomp food centre,,,,,0.0
4.73e+17,daripada sleepy jadi,,,,,0.0
4.73e+17,west coast park,,,,,0.0
4.74e+17,jurong west,,,,,0.0
4.75e+17,starbucks,,,,,0.0
4.76e+17,dessert bowl,,,,,0.0
4.77e+17,ngee ann polytechnic,,,,,0.0
4.78e+17,sentosa beach,,,,,0.0
4.79e+17,riders cafe,,,,,0.0
4.8e+17,abc brickworks market,,,,,0.0
4.8e+17,books kinokuniya,,,,,0.0
4.8e+17,queenstown stadium,,,,,0.0
4.82e+17,one north mrt,,,,,0.0
4.83e+17,garrett popcorn,,,,,0.0
4.84e+17,jurong island,,,,,0.0
4.85e+17,amber road,,,,,0.0
4.86e+17,chang korean bbq,,,,,0.0
4.87e+17,24 jalan rukam,,,,,0.0
4.88e+17,starbucks,,,,,0.0
4.88e+17,abercrombie and  fitch,,,,,0.0
4.88e+17,summer garden gym,,,,,0.0
4.89e+17,sultan mosque,,,,,0.0
4.89e+17,artfriend,,,,,0.0
4.92e+17,little india,,,,,0.0
4.93e+17,marina bay sands,,,,,0.0
4.94e+17,acm asian civilisations museum,,,,,0.0
4.96e+17,vivocity,,,,,0.0
4.96e+17,dat masambucuk,,,,,0.0
4.97e+17,sentosa beach,,,,,0.0
4.97e+17,plain vanilla bakery,,,,,0.0
5e+17,665a study corner,,,,,0.0
5.01e+17,boon lay,,,,,0.0
5.02e+17,timberland,,,,,0.0
5.03e+17,abercrombie and fitch,,,,,0.0
5.03e+17,duxton road,,,,,0.0
5.03e+17,hilton,,,,,0.0
5.04e+17,sophie bakery,,,,,0.0
5.06e+17,romeo and juliet,,,,,0.0
5.07e+17,temasek polytechnic,,,,,0.0
5.08e+17,punch,,,,,0.0
5.09e+17,daessiksin korean,,,,,0.0
5.1e+17,orchard road,,,,,0.0
5.1e+17,bugis,,,,,0.0
5.11e+17,jurong island,,,,,0.0
5.12e+17,bedok mall,,,,,0.0
5.13e+17,suntec  marina bay,,,,,0.0
5.14e+17,paris baguette,,,,,0.0
5.14e+17,tau huay stall,,,,,0.0
5.17e+17,robinsons orchard,,,,,0.0
5.22e+17,starbucks,,,,,0.0
5.23e+17,botanic garden,,,,,0.0
5.24e+17,greenridge shopping centre,,,,,0.0
5.26e+17,nak address,,,,,0.0
5.26e+17,nex singapore,,,,,0.0
5.27e+17,camden medical centre,,,,,0.0
5.28e+17,sri veeramakaliamman temple,,,,,0.0
5.28e+17,sri veeramakaliamman temple,,,,,0.0
5.31e+17,sim university,,,,,0.0
5.32e+17,vivocity,,,,,0.0
5.37e+17,marina south pier,,,,,0.0
5.37e+17,jo malone london,,,,,0.0
5.39e+17,kraze burgers,,,,,0.0
5.4e+17,eastpoint mall,,,,,0.0
5.4e+17,starbucks,,,,,0.0
5.41e+17,ngee ann polytechnic,,,,,0.0
5.42e+17,louise 21st,,,,,0.0
5.42e+17,lush cosmetics,,,,,0.0
5.43e+17,ite college central,,,,,0.0
5.44e+17,bugis,,,,,0.0
5.45e+17,swensens causeway point,,,,,0.0
5.46e+17,bukit batok,,,,,0.0
5.48e+17,sunrise way,,,,,0.0
5.48e+17,grand hyatt,,,,,0.0
5.48e+17,mitraa inn backpackers hostel,,,,,0.0
5.49e+17,sentosa official,,,,,0.0
5.5e+17,fossil somerset,,,,,0.0
5.52e+17,jurong island,,,,,0.0
5.54e+17,ssik sin korean,,,,,0.0
5.54e+17,abercrombie  fitch,,,,,0.0
5.56e+17,jurong west,,,,,0.0
5.56e+17,one north station,,,,,0.0
5.59e+17,itacho sushi,,,,,0.0
