location,LOC,place,potential_locations,lon,lat,id,tweet,processed,triggers
"gardens by the bay, Singapore",gardens by the bay,,Gardens by the Bay ,103.8636132,1.2815683,1231400000000000000,selamat pagi everyone from you know where! Ì¡åÙå÷å time to smell the flowers and lim kopi after the usual sunday morning jalan2. the flower dome is seriously like my own private gardens.Ì¡åÙå÷åÉÌ¡åÙå÷å¢ @ gardens by the bay  https://www.instagram.com/p/b85gdqthbrj/?igshid=2a3ufbe558ygÌ¢åÊÌ¢åÛå_,selamat pagi everyone from you know where  time to smell the flowers and lim kopi after the usual sunday morning jalan2 the flower dome is seriously like my own private gardens  gardens by the bay https www instagram compb85gdqthbrj igshid 2a3ufbe558yg,
"tampines , Singapore",tampines ,"East Region, Singapore",Tampines ,103.9567879,1.3495907,1228190000000000000,"itÌ¢åÛåªs smoked duck linguine for lunch today :)  smell curry hit i couldnÌ¢åÛåªt cook curry :( 
#stephyander #anderstephy #stephtusfaction #chefstephy #lunch #smokeduck #linguine @ tampines  https://www.instagram.com/p/b8ip-0xnbgjr7tsrsi3-crcwhxlfudyhqer-bk0/?igshid=qu9309gwh796Ì¢åÊÌ¢åÛå_","its smoked duck linguine for lunch today  smell curry hit i couldnt cook curry  
 stephyander anderstephy stephtusfaction chefstephy lunch smokeduck linguine tampines https www instagram compb8ip 0xnbgjr7tsrsi3 crcwhxlfudyhqer bk0 igshid qu9309gwh796",
"pet movers, Singapore",pet movers,"East Region, Singapore",Pet Movers ,103.8723195,1.4006107,1222430000000000000,"one final shower and blowdry by the petstore auntie, so that i would smell fresh and clean before mommy & daddy could bring me home that day! Ì¡åÙå÷å_ @ pet movers  https://www.instagram.com/p/b75wdgbpgxt/?igshid=57er6tghqzwoÌ¢åÊÌ¢åÛå_",one final shower and blowdry by the petstore auntie so that i would smell fresh and clean before mommy  daddy could bring me home that day  pet movers https www instagram compb75wdgbpgxt igshid 57er6tghqzwo,would
"first centre, Singapore",first centre,"North-East Region, Singapore",First Centre ,103.8761846,1.3755146,1216300000000000000,mum gave me this durian nicely packed - no smell but when you open it !!! wah !!! Ì¡åÙå÷å±Ì¡åÙå÷å±Ì¡åÙå÷å± @ first centre - office  https://www.instagram.com/p/b7n0rtah8-o/?igshid=3jq7lc87lvnsÌ¢åÊÌ¢åÛå_,mum gave me this durian nicely packed no smell but when you open it wah  first centre office https www instagram compb7n0rtah8 o igshid 3jq7lc87lvns,no
"jurong east, Singapore",jurong east,"West Region, Singapore",,103.7435522,1.3328572,1215630000000000000,"can't wait to smell #legendary.

pretty much the only @montblanc_world that i can afford Ì¡åÙå÷åâÌ¡åÙå÷åâÌ¡åÙå÷åâ @ jurong east, singapore  https://www.instagram.com/p/b7jdelqgx0l/?igshid=y787t55gmzjiÌ¢åÊÌ¢åÛå_","cant wait to smell legendary 

pretty much the only montblancworld that i can afford  jurong east singapore https www instagram compb7jdelqgx0l igshid y787t55gmzji",
"bus stop 46711, Singapore",bus stop 46711,"North Region, Singapore",Bus Stop 46711,103.8523114,1.3044483,1196720000000000000,had to break out an umbrella to walk 50m. & this 169 has that distinct smell (@ bus stop 46711 (bef admiralty rd west) in singapore) https://www.swarmapp.com/c/dztiuriav1xÌ¢åÊ,had to break out an umbrella to walk 50m  this 169 has that distinct smell  bus stop 46711 bef admiralty rd west in singapore https www swarmapp comcdztiuriav1x,distinct
"sentosa island universal studios, Singapore",sentosa island universal studios,"Central Region, Singapore",Sentosa Island Universal ,103.8238084,1.2540421,1191250000000000000,"what a big disappointment and a scum bag! never again Ì¡åÙå_å_Ì¡åÙååÈÌ¢åÛåÌ¢åªåâÌøåüå worst queue, wait time, business scheme, and smell! Ì¡åÙå´åµÌ¡åÙå_åÂÌ¡åÙå÷åÁÌ¡åÙå_åø @ sentosa island universal studios,singapore  https://www.instagram.com/p/b4byqbuhajl/?igshid=1heq4nk7iv95fÌ¢åÊÌ¢åÛå_",what a big disappointment and a scum bag never again  worst queue wait time business scheme and smell  sentosa island universal studios singapore https www instagram compb4byqbuhajl igshid 1heq4nk7iv95f,
"reflections at bukit chandu, Singapore",reflections at bukit chandu,"Central Region, Singapore",Reflections at Bukit Chandu in ,103.7942047,1.2797412,1188350000000000000,take it easy walk. it's been 3 weeks since i came out. my knee is better. the smell of nature is beautiful. #gonehiking (@ reflections at bukit chandu in singapore) https://www.swarmapp.com/c/b1gu6xmkz8dÌ¢åÊ,take it easy walk its been 3 weeks since i came out my knee is better the smell of nature is beautiful gonehiking  reflections at bukit chandu in singapore https www swarmapp comcb1gu6xmkz8d,
"brighton accessories house, Singapore",brighton accessories house,"Central Region, Singapore",Brighton Accessories House in ,103.8423387,1.2849613,1173490000000000000,smell more poison! (@ brighton accessories house in sgp) https://www.swarmapp.com/c/9gobrsg9khwÌ¢åÊ,smell more poison  brighton accessories house in sgp https www swarmapp comc9gobrsg9khw,
"reflections at bukit chandu, Singapore",reflections at bukit chandu,"Central Region, Singapore",Reflections at Bukit Chandu in ,103.7942047,1.2797412,1173040000000000000,no smell. fast loop. make hay while the sun shines. #gonehiking (@ reflections at bukit chandu in singapore) https://www.swarmapp.com/c/ebciut1veh4Ì¢åÊ,no smell fast loop make hay while the sun shines gonehiking  reflections at bukit chandu in singapore https www swarmapp comcebciut1veh4,no
"woodlands checkpoint, Singapore",woodlands checkpoint,"North Region, Singapore",Woodlands Checkpoint ,103.7688586,1.4538397,1172640000000000000,i think i can smell the air of sg! (@ woodlands checkpoint (causeway) in singapore) https://www.swarmapp.com/c/5968skga0f9Ì¢åÊ,i think i can smell the air of sg  woodlands checkpoint causeway in singapore https www swarmapp comc5968skga0f9,
"little india, Singapore",little india,Sri Veeramakaliamman Temple,,103.851819,1.3065597,1160780000000000000,"little india in #singapore is a place with lots of character, full of music, smell of incense & good curries Ì¢åå_Ìøåüå la pequeÌ£å±a india en #singapur es un lugar mÌ£åÁgico lleno mÌ£å¼sica, olor a incienso y buenos curris #lectoranÌ£å_mada #nomadreader #travelblogger #littleindia pic.twitter.com/iodqcy94x5",little india in singapore is a place with lots of character full of music smell of incense  good curries  la pequea india en singapur es un lugar mgico lleno msica olor a incienso y buenos curris lectoranmada nomadreader travelblogger littleindia pic twitter comiodqcy94x5,music
"korean fusion bbq, Singapore",korean fusion bbq,"Central Region, Singapore",Korean Fusion BBQ ,103.854183,1.304327,1158300000000000000,// doesnÌ¢åÛåªt matter if you smell after eating ; as long as itÌ¢åÛåªs yummy Ì¡åÙå÷åÜ @ korean fusion bbq  https://www.instagram.com/p/b0xro3chrnj/?igshid=njdkih99550uÌ¢åÊÌ¢åÛå_, doesnt matter if you smell after eating as long as its yummy  korean fusion bbq https www instagram compb0xro3chrnj igshid njdkih99550u,
"starbucks, Singapore",starbucks,"Central Region, Singapore",Singapore ,-80.120614,25.853093,1157650000000000000,wake up to the smell Ì¡åÙåªåö#starbucks @ singapore  https://www.instagram.com/p/b0tfvw4fhv9/?igshid=1ktu58yxvo55wÌ¢åÊÌ¢åÛå_,wake up to the smell  starbucks singapore https www instagram compb0tfvw4fhv9 igshid 1ktu58yxvo55w,
"skinny cakes in serangoon, Singapore",skinny cakes in serangoon,"Central Region, Singapore",Skinny Cakes in ,103.8617008,1.3199596,1148090000000000000,"the children got attracted by the smell (@ skinny cakes in serangoon, singapore) https://www.swarmapp.com/c/jahqi2qsuv2Ì¢åÊ",the children got attracted by the smell  skinny cakes in serangoon singapore https www swarmapp comcjahqi2qsuv2,
"siloso beach resort, Singapore",siloso beach resort,"Central Region, Singapore",Siloso Beach Resort Sentosa ,103.8144989,1.2549494,1130190000000000000,"smell the sea, and feel the sky. 
let your soul and spirit fly.Ì¡åÙååÐ @ siloso beach resort sentosa  https://www.instagram.com/p/bxp9uqlasz6/?igshid=1fufo20smagrwÌ¢åÊÌ¢åÛå_","smell the sea and feel the sky 
let your soul and spirit fly  siloso beach resort sentosa https www instagram compbxp9uqlasz6 igshid 1fufo20smagrw",
"gardens by the bay, Singapore",gardens by the bay,"Central Region, Singapore",Gardens by the Bay ,103.8636132,1.2815683,1127520000000000000,Ì¢åÛåÏa rose by any other name would smell as sweet.Ì¢åÛå @ gardens by the bay  https://www.instagram.com/yennator/p/bxw9mwqg80v/?utm_source=ig_twitter_share&igshid=h0edjv0uqs8pÌ¢åÊÌ¢åÛå_,a rose by any other name would smell as sweet  gardens by the bay https www instagram comyennatorpbxw9mwqg80v utmsource igtwittershareigshid h0edjv0uqs8p,would
"beach road prawn, Singapore",beach road prawn,"East Region, Singapore",,103.9110594,1.3085623,1126330000000000000,"throwback to yesterday lunch | beach road prawn noodle Ì¡åÙååÏ personally, i like the pig tail noodle and this is one of the rare hawker that the pig tails do not have a foul smell and taste toÌ¢åÛå_  https://www.instagram.com/p/bxogbexgy1g/?utm_source=ig_twitter_share&igshid=10p4t15c96x1kÌ¢åÊÌ¢åÛå_",throwback to yesterday lunch  beach road prawn noodle  personally i like the pig tail noodle and this is one of the rare hawker that the pig tails do not have a foul smell and taste to https www instagram compbxogbexgy1g utmsource igtwittershareigshid 10p4t15c96x1k,foul
"baker & cook, Singapore",baker & cook,"Central Region, Singapore",GlobalBaker ,103.8075664,1.3315915,1109750000000000000,can you smell the best hot x buns in town @globalbaker #bakerandcooksg #hotcrossbuns #easter #deanbrettschneider @ baker & cook singapore  https://www.instagram.com/p/bvysrifbp8h/?utm_source=ig_twitter_share&igshid=1hms0xlfayg3oÌ¢åÊÌ¢åÛå_,can you smell the best hot x buns in town globalbaker bakerandcooksg hotcrossbuns easter deanbrettschneider baker  cook singapore https www instagram compbvysrifbp8h utmsource igtwittershareigshid 1hms0xlfayg3o,
"brighton accessories house, Singapore",brighton accessories house,"Central Region, Singapore",Brighton Accessories House in ,103.8423387,1.2849613,1102800000000000000,smell the poisonnnnnn (@ brighton accessories house in sgp) https://www.swarmapp.com/c/btv4vxpbwerÌ¢åÊ,smell the poisonnnnnn  brighton accessories house in sgp https www swarmapp comcbtv4vxpbwer,
"uluwatu cliff temple, Singapore",uluwatu cliff temple,"Central Region, Singapore",Uluwatu Cliff Temple ,115.0849069,-8.829143199999999,1092680000000000000,smell the sea and feel the sky. Ì¡åÙå÷åÎ @ uluwatu cliff temple  https://www.instagram.com/p/btfzfntheucdrdcdywirgrqsc784isaomof4fw0/?utm_source=ig_twitter_share&igshid=1d045ix4u8hj7Ì¢åÊÌ¢åÛå_,smell the sea and feel the sky  uluwatu cliff temple https www instagram compbtfzfntheucdrdcdywirgrqsc784isaomof4fw0 utmsource igtwittershareigshid 1d045ix4u8hj7,
