id,LOC
4.50E+17,mandai crematorium
4.50E+17,grand hyatt
4.51E+17,vista park
4.51E+17,jcngup younngjae
4.52E+17,velocity
4.55E+17,changi international airport
4.57E+17,bath
4.58E+17,marina bay sands
4.58E+17,"starbucks,bugis"
4.59E+17,jurong bird park
4.61E+17,speakers corner
4.61E+17,litttle india
4.62E+17,marina bay
4.63E+17,one north station
4.65E+17,tuas south incineration plant
4.66E+17,moojaa mookata thai bbq steamboat
4.68E+17,changi international airport
4.69E+17,pasir panjang
4.70E+17,yomenya goemon
4.70E+17,wendys buangkok
4.70E+17,chomp chomp food centre
4.73E+17,daripada sleepy jadi
4.73E+17,west coast park
4.74E+17,jurong west
4.75E+17,starbucks
4.76E+17,dessert bowl
4.77E+17,ngee ann polytechnic
4.78E+17,sentosa beach
4.79E+17,riders cafe
4.80E+17,abc brickworks market
4.80E+17,books kinokuniya
4.80E+17,queenstown stadium
4.82E+17,one north mrt
4.83E+17,garrett popcorn
4.84E+17,jurong island
4.85E+17,amber road
4.86E+17,chang korean bbq
4.87E+17,24 jalan rukam
4.88E+17,starbucks
4.88E+17,abercrombie and  fitch
4.88E+17,summer garden gym
4.89E+17,sultan mosque
4.89E+17,artfriend
4.92E+17,little india
4.93E+17,marina bay sands
4.94E+17,acm asian civilisations museum
4.96E+17,vivocity
4.96E+17,dat masambucuk
4.97E+17,sentosa beach
4.97E+17,plain vanilla bakery
5.00E+17,665a study corner
5.01E+17,boon lay
5.02E+17,timberland
5.03E+17,abercrombie and fitch
5.03E+17,duxton road
5.03E+17,hilton
5.04E+17,sophie bakery
5.06E+17,romeo and juliet
5.07E+17,temasek polytechnic
5.08E+17,punch
5.09E+17,daessiksin korean
5.10E+17,orchard road
5.10E+17,bugis
5.11E+17,jurong island
5.12E+17,bedok mall
5.13E+17,suntec  marina bay
5.14E+17,paris baguette
5.14E+17,tau huay stall
5.17E+17,robinsons orchard
5.22E+17,starbucks
5.23E+17,botanic garden
5.24E+17,greenridge shopping centre
5.26E+17,nak address
5.26E+17,nex singapore
5.27E+17,camden medical centre
5.28E+17,sri veeramakaliamman temple
5.28E+17,sri veeramakaliamman temple
5.31E+17,sim university
5.32E+17,vivocity
5.37E+17,marina south pier
5.37E+17,jo malone london
5.39E+17,kraze burgers
5.40E+17,eastpoint mall
5.40E+17,starbucks
5.41E+17,ngee ann polytechnic
5.42E+17,louise 21st
5.42E+17,lush cosmetics
5.43E+17,ite college central
5.44E+17,bugis
5.45E+17,swensens causeway point
5.46E+17,bukit batok
5.48E+17,sunrise way
5.48E+17,grand hyatt
5.48E+17,mitraa inn backpackers hostel
5.49E+17,sentosa official
5.50E+17,fossil somerset
5.52E+17,jurong island
5.54E+17,ssik sin korean
5.54E+17,abercrombie  fitch
5.56E+17,jurong west
5.56E+17,one north station
5.59E+17,itacho sushi
5.59E+17,california fitness
5.60E+17,singapore changi
5.61E+17,nylon coffee roasters
5.61E+17,koi sushi izakaya
5.62E+17,books kinokuniya
5.64E+17,queensway shopping centre
5.64E+17,golden mile complex
5.64E+17,marina bay sands
5.65E+17,cake history
5.65E+17,asia square tower 2
5.75E+17,durian culture
5.76E+17,pasir ris beach park
5.76E+17,dreamcatcher candles
5.77E+17,raffles hospital
5.77E+17,marine parade library
5.79E+17,sengkang riverside park
5.81E+17,saboten japanese cutlet
5.83E+17,mambo beach club
5.85E+17,red velvet
5.87E+17,singapore changi
5.88E+17,36 club street
