index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,id,processed_tweets,LOC,place,loc_pretrained,sentiment_scores
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44797e+17,  that smell is damn nice i have the candle but the casing is different haha,,"North-East Region, Singapore",,0.6187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49215e+17,  you sure anot next time i see you ill make sure you smell me properly ,,"West Region, Singapore",,0.2023
rice,0.44258394799999995,-0.68396914,0.898222923,-0.6613631839999999,0.31782707600000004,0.20726189,-0.824717402,0.426659644,-0.061495050999999995,-0.683575571,-0.702189803,-0.553661883,-3.4073801039999996,-0.249012455,0.67699188,0.33767858100000003,0.332821637,-1.187211156,0.958546937,-0.17640397,-1.273771763,0.40049055200000006,0.40095335200000004,0.143317059,0.126384169,0.8538731340000001,0.21435964100000002,-0.125182256,0.60418731,-1.034639001,0.608280122,1.043077946,-1.99714601,-0.319800794,-0.33976954200000004,0.057463001,-0.116642408,0.025345026,1.410246849,0.809903383,-0.596919179,-0.452926189,-0.18776767,-0.809676886,1.126915336,0.57460618,0.57896328,-0.43795698899999996,-0.016618455,0.478714466,4.49379e+17,woke up to the smell of garlic rice and bacon yum yum,,"North-East Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49469e+17,daaaaaamn gurl what did u shower in u smell like a kid that just walked out of a candy store after drowning in endless supply of sweets,,"North Region, Singapore",,0.6908
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49487e+17,the smell of you still lingers around,,"West Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49553e+17,i need to bathe because i smell of school uncle mel,,"North-East Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49557e+17,love it when i smell good as when im about to sleep,,"West Region, Singapore",,0.7964
shit,0.784153998,0.184749678,-0.165718064,-0.22920341800000002,0.450746059,0.542936683,0.9976471659999999,0.294723064,0.10653141099999999,1.033719778,0.25693234800000003,0.702539444,-6.055430412000001,-0.424916565,-0.151301667,-0.41061559299999995,-0.199331686,-0.678394556,-1.00693047,0.014828815,-0.435519993,0.504248083,0.5455269220000001,0.646593034,0.27852416,0.048893157,0.077583522,-0.054940197999999996,-1.166048527,-0.525598049,-1.149534225,0.73392725,-0.260693192,-0.183014423,-0.476977229,0.467787415,-0.596588135,-0.132410124,0.207644448,0.17386230800000002,-0.763313293,0.248334959,0.23365224899999998,-0.546293259,-0.29970195899999996,-0.18200694,1.054004669,0.580851972,-0.14669126300000002,0.932187676,4.49594e+17,my shit smell nice lol,,"East Region, Singapore",,0.25
people,1.455307841,0.499160051,-0.372509211,0.491078258,-0.07602527,0.232981861,1.2884491679999999,-0.259869874,-0.647656739,0.43745333,-0.27245086399999996,-0.5526940229999999,-6.678860664,-0.192264393,-0.413128734,0.09587881,-0.46722012799999996,-1.192785025,0.541619956,-0.225524738,0.352024406,-0.514170527,-0.26386562,0.088183828,-0.014537513,0.6653504370000001,-0.136056542,0.585931003,-0.046837530999999995,-0.495675087,-0.344945729,-0.181668192,0.427234799,0.895947158,0.294032454,0.36692237899999997,-0.336536646,0.09239152099999999,-0.060261260999999997,-0.42149511,-0.572660983,0.557460427,0.102734774,-0.42450881,-0.035066191000000003,-0.154803991,0.599731088,0.77817136,-0.12949118,0.132112652,4.49595e+17,how do people smell nice the whole day,,"East Region, Singapore",,0.4215
durian,-0.926375926,0.434635371,0.439159125,-0.7709046009999999,-0.000836668,0.35342136,-0.39447245,0.229624152,0.874389946,1.251574993,-0.404269218,-0.572809875,-2.002628803,0.211080834,0.020762723,1.253609419,1.538916945,-1.3845708369999998,0.46749255100000003,0.206691682,-0.351163536,-0.146560267,-0.7856730820000001,-0.172714785,0.16876262399999997,0.238994911,-0.736528277,-0.139149591,0.7619315390000001,-1.409801245,0.070793279,0.11807052800000001,-0.044850870999999994,-0.08792500199999999,-1.102884293,-1.036275625,-0.217895329,-0.75202632,1.1843431,0.7388421890000001,-1.189006805,-1.201231122,-0.87402904,-1.272229433,0.319559991,0.597649753,-0.178281441,-0.40651869799999996,0.31547969600000003,0.55442512,4.49706e+17,although my hotel finds durian smell as offensive as smoking i found it to be quite tasty  hotel re http instagram compmg0revicg3,,"Central Region, Singapore",,-0.4588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49759e+17,the smell of your opponent that falls on your jersey suck,,"Central Region, Singapore",,-0.4404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49779e+17,damn whole room smell of beer after daddy came  ask me what did i do ystd ,,"Central Region, Singapore",,-0.4019
woo,0.319418073,1.0374856,0.45599103,-0.306489795,-0.0641101,-0.22410278,1.039705753,0.759911656,0.307339966,0.8666096329999999,-0.16887109,0.094328836,-2.153368235,0.377797306,0.671278954,-0.510456145,0.265953153,-0.589405775,-0.862992167,-0.029860632,0.33559528,0.13472847599999999,-0.01679064,0.7130066159999999,0.36376947200000004,0.303872436,0.13049016900000002,0.283686012,0.258765191,-0.404493809,0.144021645,1.281481743,0.24748897600000003,0.034980286,0.180742428,-0.043303095,-0.013223855,0.557851911,0.643838525,0.083162092,-1.476869941,-0.618053257,-0.118174516,1.0834259990000001,-0.216467947,0.09383323800000001,-0.836800456,-0.403380036,-0.392855316,0.75548625,4.49883e+17,woo smell so good  pasarbella  friends go to town http instagram compmie0 ddwy5,,"Central Region, Singapore",,0.8643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50106e+17,omg that smell  mandai crematorium  columbarium w 18 others http 4sq com1jlwyox,mandai crematorium,"North Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50157e+17,walking distance away from ion orchard i can smell repetto from here  at grand hyatt  https path comptybfk,grand hyatt,"Central Region, Singapore",,0.4588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50173e+17,oh look roses arent boxy ps they smell really fragrant too  gardens by the bay http instagram compmkir4psued,,"Central Region, Singapore",the bay http instagram compmkir4psued,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50211e+17,ew the smell of durian ew ew ew ,,"West Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50237e+17,burp with the smell of kimchi ,,"North-East Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50292e+17, which means i smell nice,,"North Region, Singapore",,0.4215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50296e+17, hahahahahah smell nice rightzxc,,"North-East Region, Singapore",,0.4215
perfume,-1.9807262419999998,-0.9570548529999999,0.43896809200000003,0.712867677,-0.275345623,0.311483085,1.3850184680000002,-0.332713634,0.358298361,-0.734005272,-0.366181046,0.10106194,-3.037876844,-0.115836546,-0.175812915,0.710842967,0.5225086210000001,-0.289849937,0.15309009,-0.040574037,-0.008744456,0.08592638400000001,0.62638098,-0.282757014,0.352105677,-1.34618187,0.7385102509999999,0.826278269,0.5928156379999999,-0.012448275,-0.48718878600000004,0.476591945,-0.315353841,-0.431744188,0.08931066800000001,-0.950046122,-0.5478839870000001,-0.442516178,-0.7330982090000001,0.474037528,-1.218125582,-0.747834265,-1.805211544,-0.5548641679999999,-0.075841278,-0.09650032199999999,0.816625953,-0.126689553,-0.9749491809999999,-0.4296121,4.50484e+17,fff this perfume smell ,,"Central Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5054e+17,made curry puff worst appearance but the best curry puff taste and smell she had today d she tasted three times ooooooooh,,"North Region, Singapore",,0.6428
my,-0.30138000800000003,-0.140159994,0.10571999800000001,0.444570005,-0.227620006,-0.153750002,1.312100053,0.154159993,-0.048510000000000005,-0.077973001,-0.6193400029999999,0.370550007,-6.118000031,-0.16472999800000002,-0.773389995,-0.24381999699999998,0.42373999999999995,-0.190569997,-1.157600045,0.099398002,-0.382270008,0.877789974,0.016577,0.48849999899999996,-0.543200016,0.084567003,0.120310001,-0.081237003,0.714919984,-0.001902,-1.332700014,-0.096147999,-0.28531,-0.371080011,0.026742000000000002,0.019417999,0.321090013,0.642319977,-0.0082645,0.499680012,-1.245000005,0.02204,-0.252160013,-0.149529994,0.302839994,-0.15162999900000002,0.80825001,-0.26315999,0.616729975,0.420830011,4.50598e+17, hahaahah what the my smell hahahah i dont know i changed my smell haha i will be back soon and i dont have curly hair liao,,"West Region, Singapore",,0.4588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50655e+17,residents staying near vista park complaining theres a smell because of the flooring for the new playground oh typical singaporeans ,vista park,"North Region, Singapore",,-0.2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50666e+17,dont even try to pull an april fools joke on me i will smell u from 10 mins away dont even try ah,,"North Region, Singapore",,-0.25
bus,0.232477546,0.364166528,-0.21101456899999999,-1.370983124,-0.799966693,0.211270005,0.350586236,-0.305408925,0.459787369,-0.000360315,0.020334676,0.120837659,-4.229283333,-0.109064065,0.452462077,0.992240012,-0.457956195,-0.620433152,-1.401980519,-0.312870353,-0.338086754,-0.443453759,-0.234879881,-0.502090216,-0.09871082,-1.148169398,-0.7562926409999999,-0.7102878090000001,-0.8425722720000001,-0.22394882100000002,-0.626450419,-0.111983612,0.627067566,-0.390708745,0.950279593,0.759405375,-0.78380847,0.229784921,0.737735748,-0.138357922,-1.0916939970000001,1.25543952,-1.273599267,-0.087919459,-0.08566533,0.5003368260000001,0.618952811,0.719984293,0.46722102200000004,0.727335572,4.5089e+17,whats wif the new bus smell new cushion or new freshener ,,"East Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50911e+17,smell of rain ,,"West Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51027e+17,back from chalet oh my the cigar smell all on my shirt,,"East Region, Singapore",,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5114e+17,the smell of coffee bread yeah  ,,"West Region, Singapore",,0.296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51174e+17, jcngup younngjae hirrnchan i smell jealousy,jcngup younngjae,"Central Region, Singapore",,-0.3182
here,-0.0046118,0.401050001,-0.099567004,-0.774460018,0.518029988,-0.17825,1.275300026,0.350699991,0.198520005,-0.145659998,-0.138720006,0.058883000000000005,-5.264900208,-0.38997998799999994,-0.683399975,-0.5120900270000001,-0.163310006,-0.169220001,-0.621209979,-0.09467899800000001,0.065227002,-1.0673999790000002,0.02214,0.554319978,0.141220003,0.337689996,0.102940001,-0.307990015,0.24684,-0.0014192999999999999,-0.417050004,0.24864999899999998,-0.334899992,0.287999988,0.334010005,-0.170410007,-0.06614299900000001,0.64042002,-0.187670007,0.45304998799999996,-0.755169988,0.027342999,0.67227,0.471729994,0.126829997,0.34057000299999995,0.122380003,-0.07388600000000001,-0.36239001200000004,0.396149993,4.51187e+17,the food here smell so nice so tempting,,"Central Region, Singapore",,0.5598
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51267e+17,who says money doesnt smell good this two dollar note that accidentally got washed in the washing machine smells great ,,"East Region, Singapore",,0.0757
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51293e+17, ah thats why i smell something lol,,"West Region, Singapore",,0.4215
dabian,-0.009870414000000001,0.004234195,-0.003638645,-0.002706085,-0.0037813029999999997,0.007676830999999999,-0.008097212,0.002628465,0.007355204000000001,0.006709936999999999,0.004650724,-0.005683495,-0.022581768999999998,-0.008916896,0.008433626,0.008400537,0.001939978,-0.00041305300000000003,-0.00508906,0.004009536,-0.0029515059999999996,0.009317157,0.002601306,0.000983664,-0.00255396,0.004017456,-0.006130493000000001,-0.001246806,0.009565216999999999,-0.004473246,-0.004375413,0.010392668,0.009990728,0.002548382,-0.009446416,0.009545216,-0.011535333,-0.001631059,-0.001718682,0.004443201,-0.010966476999999999,-0.008140481,-0.008910317,-0.001249655,0.005326534,-0.000409111,0.007840106999999999,-0.005872201,-0.00370278,-0.001174961,4.51328e+17,ah kp somemore what tingting dabian smelly ur sai smell very nice meh dogface,,"West Region, Singapore",,0.3642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51352e+17,love the smell of my brothers helmet ,,"West Region, Singapore",,0.6369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51379e+17, i can fart you the smell of my love  i can smell your love from here ,,"West Region, Singapore",,0.8555
